CollegeName,Location,Course,Category,Rank,MerirMarks
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,CIVIL ENGINEERING,EVS,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,CIVIL ENGINEERING,EWS,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,CIVIL ENGINEERING,Open,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,CIVIL ENGINEERING,SC,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,CIVIL ENGINEERING,SEBC,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,CIVIL ENGINEERING,TFW,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,COMPUTER ENGINEERING,DS,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,COMPUTER ENGINEERING,EVS,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,COMPUTER ENGINEERING,EWS,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,COMPUTER ENGINEERING,Open,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,COMPUTER ENGINEERING,SC,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,COMPUTER ENGINEERING,SEBC,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,COMPUTER ENGINEERING,TFW,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,ELECTRICAL ENGINEERING,DS,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,ELECTRICAL ENGINEERING,EVS,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,ELECTRICAL ENGINEERING,EWS,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,ELECTRICAL ENGINEERING,Open,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,ELECTRICAL ENGINEERING,SC,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,ELECTRICAL ENGINEERING,SEBC,36000,0
SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE ,Amreli,ELECTRICAL ENGINEERING,TFW,36000,0
